index,true,pred,confidence,correct
7592,nv,vasc,0.9799145,False
8178,nv,vasc,0.9759601,False
574,bkl,akiec,0.9431033,False
715,bkl,df,0.934651,False
485,bkl,bcc,0.92608595,False
8917,nv,bcc,0.91119325,False
9843,akiec,df,0.91078615,False
6761,nv,bcc,0.9096289,False
2637,bcc,mel,0.9094324,False
2760,bcc,akiec,0.9073943,False
8830,nv,vasc,0.9057701,False
2001,mel,vasc,0.90416783,False
7,bkl,bcc,0.89275897,False
8177,nv,vasc,0.88108885,False
1837,mel,bkl,0.8778882,False
7289,nv,bcc,0.8775154,False
1925,mel,bkl,0.8767396,False
3904,nv,df,0.8759354,False
1774,mel,bcc,0.86658907,False
6896,nv,mel,0.86630625,False
9877,akiec,bcc,0.86537635,False
2775,bcc,akiec,0.85235536,False
665,bkl,mel,0.8522694,False
1533,mel,bkl,0.8503318,False
459,bkl,bcc,0.8489867,False
7055,nv,bkl,0.84856105,False
1141,df,akiec,0.8439991,False
10013,akiec,bkl,0.8431239,False
7469,nv,mel,0.83915365,False
543,bkl,mel,0.838786,False
9293,nv,bkl,0.8373252,False
7253,nv,mel,0.8370347,False
2381,vasc,mel,0.8311713,False
7108,nv,bcc,0.8292389,False
1363,mel,bcc,0.82608116,False
7625,nv,df,0.82526344,False
8957,nv,mel,0.82298946,False
194,bkl,mel,0.82115054,False
6815,nv,bcc,0.8210582,False
1138,df,mel,0.8203448,False
295,bkl,akiec,0.8196485,False
843,bkl,akiec,0.8179734,False
313,bkl,bcc,0.81512415,False
7643,nv,mel,0.8147544,False
1899,mel,bkl,0.8073354,False
1746,mel,bkl,0.7941565,False
9418,nv,mel,0.7913072,False
1745,mel,bkl,0.78856426,False
931,bkl,mel,0.7875682,False
1499,mel,bkl,0.78433186,False
1894,mel,bkl,0.784059,False
919,bkl,mel,0.77769434,False
7540,nv,mel,0.77140397,False
3624,nv,bkl,0.7701211,False
9230,nv,mel,0.76126885,False
2739,bcc,akiec,0.7582668,False
5403,nv,mel,0.7542182,False
8400,nv,mel,0.75183475,False
8620,nv,bcc,0.7515539,False
4643,nv,df,0.74142593,False
9323,nv,bkl,0.7395254,False
7093,nv,df,0.7355447,False
8385,nv,mel,0.73501396,False
1886,mel,akiec,0.7272286,False
7477,nv,mel,0.72721344,False
899,bkl,mel,0.72535104,False
8010,nv,bcc,0.7223061,False
300,bkl,bcc,0.71787083,False
8670,nv,mel,0.71746343,False
9058,nv,mel,0.7133066,False
1220,mel,bkl,0.7132594,False
748,bkl,mel,0.711363,False
2832,bcc,mel,0.708691,False
7816,nv,mel,0.70514333,False
7237,nv,mel,0.6998414,False
8577,nv,mel,0.6992266,False
2767,bcc,akiec,0.69687116,False
9735,akiec,mel,0.6960684,False
2524,bcc,vasc,0.69530797,False
6704,nv,bkl,0.69314504,False
2651,bcc,bkl,0.6903151,False
9685,nv,bkl,0.6870127,False
7992,nv,bkl,0.68350023,False
9192,nv,mel,0.6785188,False
8822,nv,mel,0.6777684,False
8986,nv,bkl,0.6732213,False
9482,nv,bcc,0.67202187,False
9920,akiec,bkl,0.66715777,False
7503,nv,mel,0.66655916,False
7528,nv,akiec,0.66641617,False
9011,nv,bkl,0.66634977,False
9792,akiec,bcc,0.6651482,False
6773,nv,mel,0.66215724,False
885,bkl,bcc,0.6560695,False
6964,nv,mel,0.65065795,False
1875,mel,bkl,0.6499872,False
319,bkl,akiec,0.64434665,False
8669,nv,mel,0.6442049,False
9169,nv,bkl,0.6423267,False
1365,mel,bkl,0.63631684,False
6923,nv,bkl,0.6356406,False
7379,nv,bkl,0.63352036,False
7260,nv,mel,0.6307594,False
6699,nv,bkl,0.6301206,False
1256,mel,bkl,0.6299924,False
7601,nv,mel,0.62935024,False
9275,nv,mel,0.62814564,False
9187,nv,mel,0.6216518,False
8336,nv,mel,0.62053114,False
9929,akiec,mel,0.6196224,False
7814,nv,bkl,0.61909884,False
7889,nv,mel,0.6169361,False
2612,bcc,bkl,0.61572987,False
5766,nv,df,0.6145276,False
