index,true,pred,confidence,correct
7592,nv,vasc,0.86688644,False
1438,mel,bkl,0.7294317,False
9274,nv,vasc,0.71726555,False
2530,bcc,vasc,0.6964799,False
7889,nv,mel,0.68647057,False
8225,nv,mel,0.68079084,False
3546,nv,vasc,0.6289539,False
8040,nv,vasc,0.62727576,False
8320,nv,vasc,0.62523365,False
6964,nv,mel,0.6227379,False
7435,nv,df,0.62141275,False
9248,nv,mel,0.613776,False
7625,nv,bcc,0.6122771,False
7721,nv,vasc,0.60581625,False
8318,nv,df,0.6037727,False
7535,nv,mel,0.59920764,False
7859,nv,vasc,0.59671444,False
9492,nv,df,0.59064054,False
624,bkl,df,0.58691406,False
7816,nv,mel,0.5865025,False
6301,nv,df,0.58208126,False
1362,mel,vasc,0.5817379,False
9323,nv,df,0.5817006,False
485,bkl,bcc,0.58151186,False
5316,nv,vasc,0.5798882,False
300,bkl,bcc,0.5785153,False
1067,bkl,df,0.574926,False
8830,nv,vasc,0.5691144,False
7376,nv,vasc,0.56346136,False
3570,nv,df,0.5603231,False
7297,nv,mel,0.55966806,False
7540,nv,mel,0.5563204,False
1267,mel,vasc,0.55444896,False
8752,nv,df,0.55294156,False
1859,mel,vasc,0.55220604,False
313,bkl,bcc,0.5499916,False
4154,nv,vasc,0.54681057,False
9124,nv,bkl,0.53999877,False
3,bkl,akiec,0.5349859,False
6656,nv,vasc,0.53468084,False
7108,nv,bcc,0.531925,False
2034,mel,bkl,0.5303722,False
9413,nv,mel,0.5302988,False
5990,nv,df,0.52902013,False
2905,bcc,vasc,0.52732253,False
435,bkl,vasc,0.5269738,False
7562,nv,mel,0.5262967,False
8652,nv,mel,0.52537817,False
5778,nv,vasc,0.5238917,False
1017,bkl,df,0.5236814,False
567,bkl,df,0.52333885,False
1536,mel,bcc,0.5232641,False
8010,nv,bcc,0.52092296,False
3415,nv,df,0.520094,False
7251,nv,vasc,0.51987666,False
1925,mel,bkl,0.5166788,False
8349,nv,vasc,0.51496255,False
6239,nv,df,0.51190716,False
6996,nv,vasc,0.5075124,False
2302,mel,akiec,0.5056291,False
8541,nv,akiec,0.50501657,False
4911,nv,vasc,0.5034255,False
196,bkl,vasc,0.5022423,False
2699,bcc,akiec,0.5014933,False
1948,mel,vasc,0.5013593,False
1938,mel,vasc,0.49972454,False
8178,nv,vasc,0.4993745,False
7620,nv,vasc,0.49879462,False
6021,nv,vasc,0.4986232,False
8152,nv,vasc,0.49463215,False
3238,nv,df,0.49428818,False
7058,nv,mel,0.48771515,False
4726,nv,df,0.4875836,False
5471,nv,df,0.48733371,False
6390,nv,df,0.4867677,False
27,bkl,df,0.48626405,False
8115,nv,mel,0.48598355,False
1713,mel,vasc,0.48561203,False
1863,mel,vasc,0.48561132,False
2651,bcc,akiec,0.4842625,False
7758,nv,mel,0.48393786,False
3012,nv,vasc,0.48363766,False
4643,nv,df,0.48235795,False
9451,nv,mel,0.4817613,False
7284,nv,mel,0.4796868,False
9461,nv,bkl,0.47953558,False
4023,nv,df,0.47740737,False
8322,nv,vasc,0.47655538,False
6558,nv,vasc,0.47631574,False
7566,nv,mel,0.4737475,False
2815,bcc,bkl,0.4726705,False
4356,nv,df,0.4725302,False
4521,nv,df,0.46856853,False
7665,nv,df,0.4683807,False
4588,nv,vasc,0.46773082,False
9163,nv,mel,0.46672505,False
899,bkl,mel,0.4662296,False
8620,nv,bcc,0.46518445,False
9707,akiec,vasc,0.46399364,False
6976,nv,bcc,0.46396464,False
6815,nv,bcc,0.46377125,False
6521,nv,df,0.46199363,False
3417,nv,df,0.46196225,False
6578,nv,df,0.46153057,False
1141,df,akiec,0.46151873,False
1380,mel,akiec,0.46087557,False
5301,nv,df,0.46008083,False
2683,bcc,akiec,0.45998013,False
1220,mel,akiec,0.4592875,False
8957,nv,mel,0.45912898,False
665,bkl,akiec,0.4580077,False
9266,nv,df,0.4575821,False
6817,nv,df,0.45629,False
4115,nv,df,0.4559423,False
1138,df,bcc,0.4555708,False
6694,nv,vasc,0.45515567,False
9482,nv,akiec,0.45449337,False
1899,mel,bcc,0.45428625,False
8998,nv,akiec,0.45411187,False
4275,nv,df,0.45345473,False
4355,nv,vasc,0.45302448,False
4331,nv,df,0.45278245,False
5472,nv,df,0.45071504,False
6528,nv,df,0.4503923,False
3904,nv,df,0.45031372,False
8430,nv,df,0.44974482,False
4376,nv,df,0.4493441,False
7048,nv,mel,0.44849575,False
5766,nv,df,0.4483541,False
173,bkl,df,0.447622,False
6800,nv,mel,0.44733718,False
6339,nv,vasc,0.4449255,False
9680,nv,bkl,0.44369408,False
5171,nv,vasc,0.4436905,False
7494,nv,vasc,0.4435688,False
3497,nv,df,0.4433159,False
8140,nv,vasc,0.44277686,False
4612,nv,df,0.44262978,False
5514,nv,df,0.4422363,False
2892,bcc,akiec,0.44194427,False
75,bkl,vasc,0.44191733,False
5330,nv,df,0.44146296,False
8670,nv,mel,0.44139147,False
9892,akiec,df,0.4397865,False
6348,nv,vasc,0.43974918,False
3842,nv,df,0.4383509,False
7964,nv,akiec,0.43739888,False
7,bkl,df,0.43732426,False
645,bkl,akiec,0.4369355,False
1747,mel,vasc,0.4364406,False
9438,nv,mel,0.43558097,False
8257,nv,vasc,0.43451655,False
228,bkl,mel,0.43450773,False
5503,nv,df,0.43406507,False
6902,nv,mel,0.43383923,False
8324,nv,vasc,0.43179226,False
4424,nv,df,0.43173695,False
7260,nv,mel,0.43017057,False
4492,nv,df,0.43005562,False
9331,nv,bcc,0.42586306,False
3547,nv,vasc,0.4248824,False
3252,nv,df,0.4242654,False
755,bkl,akiec,0.42398888,False
3799,nv,df,0.42375594,False
7676,nv,df,0.42346394,False
2182,mel,bkl,0.42207712,False
9224,nv,df,0.42128143,False
4357,nv,df,0.42066392,False
4112,nv,df,0.4202619,False
8156,nv,vasc,0.4194571,False
8886,nv,df,0.41861507,False
9792,akiec,df,0.4182826,False
7986,nv,vasc,0.41823992,False
2641,bcc,vasc,0.41798046,False
4286,nv,df,0.41744387,False
3352,nv,vasc,0.41716135,False
7188,nv,mel,0.4170716,False
5232,nv,df,0.41686916,False
24,bkl,bcc,0.41600478,False
3171,nv,df,0.41581947,False
8793,nv,akiec,0.41523105,False
6329,nv,df,0.41509154,False
8883,nv,df,0.4150817,False
5694,nv,vasc,0.4144305,False
